hidden_size,loss,L_test,bit_accuracy
32,mse,3,0.7786666666666666
32,mse,4,0.7585
32,mse,5,0.759
32,mse,6,0.7431666666666666
32,mse,7,0.7404285714285714
32,mse,8,0.720875
32,mse,9,0.7173333333333334
32,mse,10,0.7165
32,mse,11,0.7160909090909091
32,mse,12,0.7160833333333333
32,mse,13,0.7026923076923077
32,mse,14,0.7134285714285714
32,mse,15,0.7103333333333334
32,mse,16,0.7055625
32,mse,17,0.7027058823529412
32,mse,18,0.6999444444444445
32,mse,19,0.7000526315789474
32,mse,20,0.70995
32,mse,1,1.0
32,mse,2,0.8055
32,mse,3,0.806
32,mse,4,0.78275
32,mse,5,0.7302
32,mse,6,0.739
32,mse,7,0.7365714285714285
32,mse,8,0.72775
32,mse,9,0.7266666666666667
32,mse,10,0.7182
32,mse,11,0.7266363636363636
32,mse,12,0.7186666666666667
32,mse,13,0.7047692307692308
32,mse,14,0.7106428571428571
32,mse,15,0.7078666666666666
32,mse,16,0.7076875
32,mse,17,0.7016470588235294
32,mse,18,0.7085555555555556
32,mse,19,0.7077368421052631
32,mse,20,0.70115
32,mse,1,0.483
32,mse,2,0.5265
32,mse,3,0.556
32,mse,4,0.5885
32,mse,5,0.591
32,mse,6,0.596
32,mse,7,0.5941428571428572
32,mse,8,0.587625
32,mse,9,0.5881111111111111
32,mse,10,0.5968
32,mse,11,0.5877272727272728
32,mse,12,0.60075
32,mse,13,0.5883846153846154
32,mse,14,0.5950714285714286
32,mse,15,0.5937333333333333
32,mse,16,0.5910625
32,mse,17,0.6011176470588235
32,mse,18,0.5926111111111111
32,mse,19,0.5940526315789474
32,mse,20,0.5928
